GMT Time,Generation - Fuel - Biomass - GB (MW),Generation - Fuel - CCGT - GB (MW),Generation - Fuel - Coal - GB (MW),Generation - Fuel - Hydro - GB (MW),Generation - Fuel - Nuclear - GB (MW),Generation - Fuel - OCGT - GB (MW),Generation - Fuel - Oil - GB (MW),Generation - Fuel - Pumped Storage - GB (MW),Generation - Fuel - Wind - GB (MW),Generation - Fuel - Interconnectors - GB (MW)
01/01/2023 00:00,453,2973,578,340,5722,0,0,-1432,11712,1096
01/01/2023 00:30,568,3282,733,338,5716,0,0,-1296,11792,1044
01/01/2023 01:00,597,2941,714,285,5704,0,0,-1476,12264,632
01/01/2023 01:30,465,2744,507,285,5708,0,0,-1614,12214,592
01/01/2023 02:00,458,2720,470,285,5715,0,0,-1648,11908,214
01/01/2023 02:30,451,2700,464,285,5715,0,0,-1760,11547,152
01/01/2023 03:00,454,2707,468,285,5707,0,0,-1750,11098,118
01/01/2023 03:30,453,2700,465,284,5711,0,0,-1748,10570,96
01/01/2023 04:00,471,2741,476,282,5707,0,0,-1646,10205,-242
01/01/2023 04:30,451,2795,500,284,5714,0,0,-1690,9876,-244
01/01/2023 05:00,444,2778,521,293,5720,0,0,-1736,10084,-402
01/01/2023 05:30,453,2705,565,304,5719,0,0,-1662,10136,-392
01/01/2023 06:00,457,2825,534,331,5723,0,0,-1574,10204,-156
01/01/2023 06:30,454,2843,529,333,5723,0,0,-1492,10471,-192
01/01/2023 07:00,458,2960,555,381,5721,0,0,-984,10485,-282
01/01/2023 07:30,449,2988,546,392,5729,0,0,-942,10613,-246
01/01/2023 08:00,451,2947,523,415,5730,0,0,-1148,10764,520
01/01/2023 08:30,572,3009,724,449,5719,0,0,-808,10575,666
01/01/2023 09:00,477,2629,699,482,5719,0,0,-592,10363,2116
01/01/2023 09:30,470,2583,721,536,5720,0,0,-52,10138,2388
01/01/2023 10:00,457,2479,488,533,5724,0,0,-64,9340,4572
01/01/2023 10:30,563,2642,549,562,5718,0,0,52,9402,4802
01/01/2023 11:00,756,2726,620,647,5720,0,0,188,9538,4976
01/01/2023 11:30,941,2819,739,650,5718,0,0,194,9819,5132
01/01/2023 12:00,1047,3098,699,723,5717,0,0,240,10226,5366
01/01/2023 12:30,1188,3397,616,738,5718,0,0,140,10475,5446
01/01/2023 13:00,1060,3674,601,765,5720,0,0,168,10576,5424
01/01/2023 13:30,979,3821,565,766,5719,0,0,320,10533,5374
