GMT Time,MEL Below PN - Fuel - CCGT - GB (MW),MEL Below PN - Fuel - Nuclear - GB (MW),MEL Below PN - Fuel - Coal - GB (MW),MEL Below PN - Fuel - Biomass - GB (MW),MEL Below PN - Fuel - Pumped Storage - GB (MW),MEL Below PN - Fuel - Interconnectors - GB (MW)
01/01/2023 00:00,0,0,0,0,0,0
01/01/2023 00:30,0,0,0,0,0,0
01/01/2023 01:00,0,0,0,0,0,0
01/01/2023 01:30,0,0,0,0,0,0
01/01/2023 02:00,0,0,0,0,0,0
01/01/2023 02:30,0,0,0,0,0,0
01/01/2023 03:00,0,0,0,0,0,0
01/01/2023 03:30,0,0,0,0,0,0
01/01/2023 04:00,0,0,0,0,0,0
01/01/2023 04:30,0,0,0,0,0,0
01/01/2023 05:00,-1,0,0,0,0,0
01/01/2023 05:30,-1,0,0,0,0,0
01/01/2023 06:00,-1,0,0,0,0,0
01/01/2023 06:30,-1,0,0,0,0,0
01/01/2023 07:00,-1,0,0,0,0,0
01/01/2023 07:30,-1,0,0,0,0,0
01/01/2023 08:00,-1,0,0,0,0,0
01/01/2023 08:30,-1,0,0,0,0,0
01/01/2023 09:00,-1,0,0,0,0,0
01/01/2023 09:30,-1,0,0,0,0,0
01/01/2023 10:00,-1,0,0,0,0,0
01/01/2023 10:30,-1,0,0,0,0,0
01/01/2023 11:00,-1,0,0,0,0,0
01/01/2023 11:30,-1,0,0,0,0,0
01/01/2023 12:00,-1,0,0,0,0,0
01/01/2023 12:30,-1,0,0,0,0,0
01/01/2023 13:00,-1,0,0,0,0,0
01/01/2023 13:30,-1,0,0,0,0,0
01/01/2023 14:00,-1,0,0,0,0,0
01/01/2023 14:30,-11.98,0,0,0,0,0
01/01/2023 15:00,-99.28,0,0,0,0,0
01/01/2023 15:30,-1,0,0,0,0,0
01/01/2023 16:00,-1,0,0,0,0,0
01/01/2023 16:30,-1,0,0,0,0,0
01/01/2023 17:00,-1,0,0,0,0,0
01/01/2023 17:30,-1,0,0,0,0,0
01/01/2023 18:00,-1.37,0,0,0,0,0
01/01/2023 18:30,-1,0,0,0,0,0
01/01/2023 19:00,-2,0,0,0,0,0
01/01/2023 19:30,-1,0,0,0,0,0
01/01/2023 20:00,-1,0,0,0,0,0
01/01/2023 20:30,-1,0,0,0,0,0
01/01/2023 21:00,-1,0,0,0,0,0
01/01/2023 21:30,-1,0,0,0,0,0
01/01/2023 22:00,-1,0,0,0,0,0
01/01/2023 22:30,-1,0,0,0,0,0
01/01/2023 23:00,-1,0,0,0,0,0
01/01/2023 23:30,-1,0,0,0,0,0
02/01/2023 00:00,-1,0,0,0,0,0
02/01/2023 00:30,-1,0,0,0,0,0
02/01/2023 01:00,-1,0,0,0,0,0
02/01/2023 01:30,-1,0,0,0,0,0
02/01/2023 02:00,-1.93,0,0,0,0,0
02/01/2023 02:30,-1,0,0,0,0,0
02/01/2023 03:00,-1,0,0,0,0,0
02/01/2023 03:30,-1,0,0,0,0,0
02/01/2023 04:00,-18.35,0,0,0,0,0
02/01/2023 04:30,-27.35,0,0,0,0,0
02/01/2023 05:00,-36.35,0,0,0,0,0
02/01/2023 05:30,-3.67,0,0,0,0,0
02/01/2023 06:00,-1,0,0,0,0,0
02/01/2023 06:30,-1,0,0,0,0,0
02/01/2023 07:00,-1,0,0,0,0,0
02/01/2023 07:30,-1,0,0,0,0,0
02/01/2023 08:00,-1,0,0,0,0,0
02/01/2023 08:30,-1,0,0,0,0,0
02/01/2023 09:00,-166.15,0,0,0,0,0
02/01/2023 09:30,-62.6,0,0,0,0,0
02/01/2023 10:00,-1,0,0,0,0,0
02/01/2023 10:30,-1,0,0,0,0,0
02/01/2023 11:00,-1,0,0,0,0,0
02/01/2023 11:30,-1,0,0,0,0,0
02/01/2023 12:00,-1,0,0,0,0,0
02/01/2023 12:30,-1,0,0,0,0,0
02/01/2023 13:00,-1,0,0,0,0,0
02/01/2023 13:30,-133.3,0,0,0,0,0
02/01/2023 14:00,-190,0,0,0,0,0
02/01/2023 14:30,-190,0,0,0,0,0
02/01/2023 15:00,-360.2,0,0,0,0,0
02/01/2023 15:30,-421.17,0,0,0,0,0
02/01/2023 16:00,-419.24,0,0,0,0,0
02/01/2023 16:30,-1.41,0,0,0,0,0
02/01/2023 17:00,-8.44,0,0,0,0,0
02/01/2023 17:30,-10.74,0,0,0,0,0
02/01/2023 18:00,-17.7,0,0,0,0,0
02/01/2023 18:30,-14.83,0,0,0,0,0
02/01/2023 19:00,-14,0,0,0,0,0
02/01/2023 19:30,-17,0,0,0,0,0
02/01/2023 20:00,-17.03,0,0,0,0,0
02/01/2023 20:30,-5,0,0,0,0,0
02/01/2023 21:00,-1,0,0,0,0,0
02/01/2023 21:30,-1,0,0,0,0,0
02/01/2023 22:00,-1,0,0,0,0,0
02/01/2023 22:30,-1,0,0,0,0,0
02/01/2023 23:00,-1,0,0,0,0,0
02/01/2023 23:30,-1,0,0,0,0,0
03/01/2023 00:00,-1,0,0,0,0,0
03/01/2023 00:30,-1,0,0,0,0,0
03/01/2023 01:00,-1,0,0,0,0,0
03/01/2023 01:30,-1,0,0,0,0,0
03/01/2023 02:00,-1,0,0,0,0,0
03/01/2023 02:30,-1,0,0,0,0,0
03/01/2023 03:00,-1,0,0,0,0,0
03/01/2023 03:30,-1,0,0,0,0,0
03/01/2023 04:00,-1,0,0,0,0,0
03/01/2023 04:30,-1,0,0,0,0,0
03/01/2023 05:00,-1,0,0,-24,0,0
03/01/2023 05:30,-1,0,0,-45,0,0
03/01/2023 06:00,-1,0,0,-45,0,0
03/01/2023 06:30,-1,0,0,-26.25,0,0
03/01/2023 07:00,-1,0,0,0,0,0
03/01/2023 07:30,-1.19,0,0,0,0,0
03/01/2023 08:00,-11.85,0,0,-2,0,0
03/01/2023 08:30,-13,0,0,-2,0,0
03/01/2023 09:00,-7.48,0,0,-2,0,0
03/01/2023 09:30,-7.66,0,0,-8.51,0,0
03/01/2023 10:00,-2,0,0,-67,0,0
03/01/2023 10:30,-2,0,0,-67,0,0
03/01/2023 11:00,-2,0,0,-67,0,0
03/01/2023 11:30,-4.67,0,0,-67,0,0
03/01/2023 12:00,-16.13,0,0,-20.42,0,0
03/01/2023 12:30,-19,0,0,-2,0,0
03/01/2023 13:00,-15.13,0,0,-2,0,0
03/01/2023 13:30,-2.43,-6.37,0,-2,0,0
03/01/2023 14:00,-2,-34.93,0,-2,0,0
03/01/2023 14:30,-2,-35,0,-2,0,0
03/01/2023 15:00,-2,-35,0,-2,0,0
03/01/2023 15:30,-2,-35,0,-29.75,0,0
03/01/2023 16:00,-2,-35,0,-47,0,0
03/01/2023 16:30,-2,-35,0,-47,0,0
03/01/2023 17:00,-2.48,-35,0,-5.75,0,0
03/01/2023 17:30,-3,-35,0,-2,0,0
03/01/2023 18:00,-3.74,-35,0,-2,0,0
03/01/2023 18:30,-4,-35,0,-2,0,0
03/01/2023 19:00,-3.03,-35,0,-2.59,0,0
03/01/2023 19:30,-7.03,-35,0,-37,0,0
03/01/2023 20:00,-16.67,-35,0,-37,0,0
03/01/2023 20:30,-22,-35,0,-4.33,0,0
03/01/2023 21:00,-3,-35,0,-2,0,0
03/01/2023 21:30,-3,-35,0,-2,0,0
03/01/2023 22:00,-3,-35,0,-2,0,0
03/01/2023 22:30,-3,-35,0,-2,0,0
03/01/2023 23:00,-3,-35,0,-2,0,0
03/01/2023 23:30,-3,-35,0,-2,0,0
04/01/2023 00:00,-3,-35,0,-2,0,0
04/01/2023 00:30,-3,-35,0,-2,0,0
04/01/2023 01:00,-3.48,-35,0,-2,0,0
04/01/2023 01:30,-4,-35,0,-2,0,0
04/01/2023 02:00,-4,-35,0,-2,0,0
04/01/2023 02:30,-4,-35,0,-2,0,0
04/01/2023 03:00,-4,-35,0,-2,0,0
04/01/2023 03:30,-4,-35,0,-2,0,0
04/01/2023 04:00,-4,-35,0,-302,0,0
04/01/2023 04:30,-4,-35,0,-302,0,0
04/01/2023 05:00,0,-11.43,0,-302,0,0
04/01/2023 05:30,0,-11,0,-302,0,0
04/01/2023 06:00,0,-11,0,-305.34,0,0
04/01/2023 06:30,0,-16.34,0,-497,0,0
04/01/2023 07:00,0,-55.83,0,-647,0,0
04/01/2023 07:30,0,-56,0,-647,0,0
04/01/2023 08:00,0,-56,0,-647,0,0
04/01/2023 08:30,0,-55.27,0,-23.5,0,0
04/01/2023 09:00,0,-55,0,-2,0,0
04/01/2023 09:30,0,-5,0,-2,0,0
04/01/2023 10:00,0,-5,0,-2,0,0
04/01/2023 10:30,0,-5,0,-2,0,0
04/01/2023 11:00,0,-5,0,-2,0,0
04/01/2023 11:30,0,-5,0,-2,0,0
