GMT Time,National Demand Forecast (NDF) - GB (MW),"Day Ahead Price (EPEX half-hourly, local) - GB (£/MWh)"
01/01/2023 00:00,21200,20
01/01/2023 00:30,21500,63.1
01/01/2023 01:00,21140,70
01/01/2023 01:30,20416,5
01/01/2023 02:00,19804,30.4
01/01/2023 02:30,19252,6.1
01/01/2023 03:00,18690,9.5
01/01/2023 03:30,18102,-23.2
01/01/2023 04:00,17657,5
01/01/2023 04:30,17440,-15
01/01/2023 05:00,17519,-4.5
01/01/2023 05:30,17690,-3.4
01/01/2023 06:00,18406,-4
01/01/2023 06:30,18725,5
01/01/2023 07:00,19153,2.6
01/01/2023 07:30,19314,40
01/01/2023 08:00,19807,19.2
01/01/2023 08:30,20500,76
01/01/2023 09:00,21505,70.6
01/01/2023 09:30,22557,141.2
01/01/2023 10:00,23500,145
01/01/2023 10:30,23928,165
01/01/2023 11:00,24518,138.2
01/01/2023 11:30,25027,168.85
01/01/2023 12:00,26561,151.9
01/01/2023 12:30,27200,160.9
01/01/2023 13:00,27600,160
01/01/2023 13:30,27645,154.1
01/01/2023 14:00,27850,160
01/01/2023 14:30,28145,149.51
01/01/2023 15:00,28695,136.21
01/01/2023 15:30,29398,141.9
01/01/2023 16:00,30945,160
01/01/2023 16:30,32825,194
01/01/2023 17:00,33400,198.3
01/01/2023 17:30,33200,195
01/01/2023 18:00,32724,200
01/01/2023 18:30,31957,182
01/01/2023 19:00,31278,183.51
01/01/2023 19:30,30122,165
01/01/2023 20:00,29379,176.3
01/01/2023 20:30,28400,148
01/01/2023 21:00,27711,175
01/01/2023 21:30,26661,155
01/01/2023 22:00,25531,182.5
01/01/2023 22:30,24623,150.4
01/01/2023 23:00,23526,180
01/01/2023 23:30,22800,148
02/01/2023 00:00,22500,146.4
02/01/2023 00:30,22900,181
02/01/2023 01:00,22732,183
02/01/2023 01:30,22083,159.4
02/01/2023 02:00,21441,164.1
02/01/2023 02:30,21025,161
02/01/2023 03:00,20098,147
02/01/2023 03:30,19663,140.18
02/01/2023 04:00,19216,130
02/01/2023 04:30,19200,122
02/01/2023 05:00,19667,130
02/01/2023 05:30,20259,130
02/01/2023 06:00,21519,148
02/01/2023 06:30,22515,144.2
02/01/2023 07:00,23333,126.5
02/01/2023 07:30,23795,136
02/01/2023 08:00,24919,137.8
02/01/2023 08:30,26000,150.6
02/01/2023 09:00,26860,157.2
02/01/2023 09:30,27621,166
02/01/2023 10:00,28200,154.4
02/01/2023 10:30,28353,154
02/01/2023 11:00,28795,150
02/01/2023 11:30,28905,162
02/01/2023 12:00,29100,156
02/01/2023 12:30,29089,156.8
02/01/2023 13:00,28603,160
02/01/2023 13:30,28600,153.9
02/01/2023 14:00,28810,153.4
02/01/2023 14:30,29136,150
02/01/2023 15:00,29979,155
02/01/2023 15:30,31018,155
02/01/2023 16:00,33173,151.1
02/01/2023 16:30,35219,214.4
02/01/2023 17:00,36380,210
02/01/2023 17:30,36400,213.6
02/01/2023 18:00,36067,213
02/01/2023 18:30,35793,175
02/01/2023 19:00,34620,182.9
02/01/2023 19:30,33418,163
02/01/2023 20:00,32502,159
02/01/2023 20:30,31500,130
02/01/2023 21:00,30262,169.5
02/01/2023 21:30,28862,125.5
02/01/2023 22:00,27414,136
02/01/2023 22:30,25871,90
02/01/2023 23:00,24276,159
02/01/2023 23:30,23480,127.4
03/01/2023 00:00,22600,126.8
03/01/2023 00:30,23290,144.8
03/01/2023 01:00,22861,149
03/01/2023 01:30,22056,112
03/01/2023 02:00,21357,120.2
03/01/2023 02:30,20904,81.1
03/01/2023 03:00,20385,111
03/01/2023 03:30,19912,63
03/01/2023 04:00,19540,112
03/01/2023 04:30,19658,96
03/01/2023 05:00,20257,123
03/01/2023 05:30,21103,132.8
03/01/2023 06:00,23308,147
03/01/2023 06:30,25032,147
03/01/2023 07:00,27220,142
03/01/2023 07:30,28658,168.45
03/01/2023 08:00,30078,138
03/01/2023 08:30,31320,164
03/01/2023 09:00,32967,138
03/01/2023 09:30,33872,161
03/01/2023 10:00,34590,158
03/01/2023 10:30,34799,160.6
03/01/2023 11:00,35300,153.5
03/01/2023 11:30,35588,162.3
03/01/2023 12:00,35997,160
03/01/2023 12:30,36000,160.4
03/01/2023 13:00,36000,166.6
03/01/2023 13:30,36140,156.9
03/01/2023 14:00,36107,167.2
03/01/2023 14:30,36187,153.1
03/01/2023 15:00,36271,141
03/01/2023 15:30,36338,166.4
03/01/2023 16:00,37554,150
03/01/2023 16:30,38424,185
03/01/2023 17:00,38600,170
03/01/2023 17:30,38391,167.1
03/01/2023 18:00,37433,164.8
03/01/2023 18:30,36293,137.2
03/01/2023 19:00,35218,162.2
03/01/2023 19:30,34058,155.4
03/01/2023 20:00,32574,155.4
03/01/2023 20:30,31000,110
03/01/2023 21:00,29144,138
03/01/2023 21:30,27057,60
03/01/2023 22:00,25143,103
03/01/2023 22:30,23713,30
03/01/2023 23:00,22065,100
03/01/2023 23:30,20740,45
04/01/2023 00:00,20570,40
04/01/2023 00:30,21040,65
04/01/2023 01:00,20688,64
04/01/2023 01:30,20100,25.2
04/01/2023 02:00,19454,10
04/01/2023 02:30,19104,-2.8
