GMT Time,Volume Requirements Forecast - DC-H - GB (MW),Volume Requirements Forecast - DC-L - GB (MW),Volume Requirements Forecast - DR-H - GB (MW),Volume Requirements Forecast - DR-L - GB (MW),Volume Requirements Forecast - DM-H - GB (MW),Volume Requirements Forecast - DM-L - GB (MW),Ancillary Volume Accepted - DC-H - GB (MW),Ancillary Volume Accepted - DC-L - GB (MW),Ancillary Volume Accepted - DR-H - GB (MW),Ancillary Volume Accepted - DR-L - GB (MW),Ancillary Volume Accepted - DM-H - GB (MW),Ancillary Volume Accepted - DM-L - GB (MW),Ancillary Price - DC-H - GB (£/MW/h),Ancillary Price - DC-L - GB (£/MW/h),Ancillary Price - DR-H - GB (£/MW/h),Ancillary Price - DR-L - GB (£/MW/h),Ancillary Price - DM-H - GB (£/MW/h),Ancillary Price - DM-L - GB (£/MW/h)
01/01/2024 03:00,1250,933,330,330,150,150,1250,1039,330,154,150,150,5,0.78,2.17,7.65,3.59,3.49
01/01/2024 07:00,1250,983,330,330,150,150,1250,1004,326,213,150,150,2.31,1.34,3.94,10.55,2.85,3.96
01/01/2024 11:00,1250,956,330,330,150,150,1160,974,350,271,150,150,1.25,1.25,-5.57,10.5,0.17,4.44
01/01/2024 15:00,1137,924,330,330,150,150,997,960,350,202,150,139,2.21,5.61,-5.92,13.33,1.11,8
01/01/2024 19:00,1007,912,330,330,150,150,1087,1002,350,154,170,150,1.1,1.73,-5.5,13.53,-0.79,4.93
01/01/2024 23:00,1051,934,330,330,150,150,1250,1073,350,144,163,150,1.4,0.95,-2.25,5.65,-0.19,2.47
02/01/2024 03:00,1250,935,330,330,150,150,1250,1049,269,141,150,150,4.07,0.8,0,5,3.97,3.87
02/01/2024 07:00,1250,967,330,330,150,150,1250,999,350,205,149,149,1.23,1.34,-4.32,8.52,0.11,4.12
02/01/2024 11:00,1250,947,330,330,150,150,964,881,350,245,170,150,0.53,1.05,-6.58,9.45,-1.22,3.96
02/01/2024 15:00,996,870,330,330,150,150,952,880,350,205,170,150,1.2,1.99,-7.1,10.61,-0.17,5.69
02/01/2024 19:00,972,853,330,330,150,150,1172,983,350,205,169,150,0.81,1.3,-4.75,8.5,-0.83,4.63
02/01/2024 23:00,1118,931,330,330,150,150,1250,1030,350,137,167,149,0.81,0.55,-3.43,7.43,-0.48,2.48
03/01/2024 03:00,1250,942,330,330,150,150,1250,987,330,137,150,150,2.64,0.65,0.31,5.52,2.12,2.79
03/01/2024 07:00,1250,967,330,330,150,150,1091,1002,350,183,170,150,0.72,1.3,-5.8,9,-0.07,3.67
03/01/2024 11:00,1127,937,330,330,150,150,960,866,349,211,170,150,0.7,1.07,-6.48,8.48,-0.65,2.65
03/01/2024 15:00,967,825,330,330,150,150,947,947,350,183,150,150,1.04,3.01,-6.99,11.5,0.54,4.88
03/01/2024 19:00,951,826,330,330,150,150,1079,960,350,152,170,150,0.23,1.29,-7.2,8.67,-1.09,4.13
03/01/2024 23:00,1073,937,330,330,150,150,1250,927,350,203,164,149,1.22,0.88,-6.62,8.63,-1.04,4.23
04/01/2024 03:00,1250,970,330,330,150,150,1250,966,350,205,168,150,1.16,0.62,-6.72,8.72,-0.89,2.89
04/01/2024 07:00,1250,974,330,330,150,150,1056,978,350,205,170,150,0.86,1.22,-8.58,10.58,-0.55,4.32
04/01/2024 11:00,1050,937,330,330,150,150,939,847,350,267,169,149,0.92,1.24,-8.18,10,-1.61,3.61
04/01/2024 15:00,944,824,330,330,150,150,911,917,350,208,170,150,1.25,3.28,-9.32,13.84,-0.83,5.82
04/01/2024 19:00,915,825,330,330,150,150,975,915,350,250,170,150,0.07,1.25,-7.88,11.18,-1.62,4.84
04/01/2024 23:00,975,895,330,330,150,150,1132,923,350,201,170,150,0.79,0.78,-7.39,9.39,-0.9,2.9
05/01/2024 03:00,1060,994,330,330,150,150,1169,983,350,201,170,150,1,0.63,-6.95,8.96,-1.09,3.09
05/01/2024 07:00,1092,980,330,330,150,150,999,936,350,201,170,150,0.36,1.42,-7.86,9.86,-1.72,3.72
05/01/2024 11:00,978,897,330,330,150,150,923,841,350,204,170,150,1.08,1.08,-8.3,9.74,-1.69,3.82
05/01/2024 15:00,913,829,330,330,150,150,922,938,350,202,170,150,1.13,2.5,-8.64,11.9,-0.69,5.02
05/01/2024 19:00,912,836,330,330,150,150,997,930,350,230,170,150,0.5,1.5,-7.42,10.1,-1.06,3.06
05/01/2024 23:00,992,931,330,330,150,150,1131,931,350,232,170,150,0.7,0.43,-7.32,11.33,-1.57,3.57
06/01/2024 03:00,1157,1028,330,330,150,150,1187,997,350,236,170,150,1,0.55,-6.9,9.01,-1.47,3.47
06/01/2024 07:00,1250,995,330,330,150,150,1110,978,350,330,169,149,0.59,1.41,-8.02,8.4,-1.66,3.66
06/01/2024 11:00,1120,984,330,330,150,150,971,899,350,330,170,150,0.86,1.05,-8.21,8.4,-1.68,3.68
06/01/2024 15:00,958,869,330,330,150,150,958,874,350,330,170,150,1.03,2.68,-8.56,9.8,-0.59,4
06/01/2024 19:00,956,899,330,330,150,150,997,933,350,270,170,150,0.09,1.51,-8.1,13,-1.56,4.13
06/01/2024 23:00,997,948,330,330,150,150,1134,932,350,195,170,150,0.95,0.7,-7.44,8.79,-1.08,2.31
07/01/2024 03:00,1125,1010,330,330,150,150,1179,998,350,195,170,150,1,0.95,-7.97,9.01,-1.44,2.03
07/01/2024 07:00,1180,994,330,330,150,150,1134,983,350,266,170,150,1.1,1.46,-8,8.83,-0.51,4.23
07/01/2024 11:00,1133,1004,330,330,150,150,968,900,350,266,170,150,1.04,0.86,-8.79,8.8,-1.63,4.22
07/01/2024 15:00,960,885,330,330,150,150,938,867,350,304,150,150,1.48,2.84,-9.14,10,0.44,6.31
07/01/2024 19:00,937,914,330,330,150,150,996,933,350,201,170,150,0.06,1.56,-8.4,11.93,-1.65,4.13
07/01/2024 23:00,1007,966,330,330,150,150,1107,927,350,213,169,149,1.11,0.72,-9.04,11.04,-1.57,3.57
08/01/2024 03:00,1126,978,330,330,150,150,1156,990,350,211,162,149,1.8,0.85,-8.2,10.29,-0.21,3.6
08/01/2024 07:00,1168,981,330,330,150,150,991,924,350,330,169,149,0.81,1.19,-9.34,10,-1.21,3.21
08/01/2024 11:00,987,928,330,330,150,150,918,845,350,271,169,149,1.17,0.96,-8.91,12,-0.33,3.65
08/01/2024 15:00,901,828,330,330,150,150,796,932,350,211,149,147,3.18,9.21,-0.94,20,5.81,7.59
08/01/2024 19:00,892,890,330,330,150,150,992,916,350,330,170,150,0.89,1.57,-8.57,10,-1.55,4.18
08/01/2024 23:00,983,905,330,330,150,150,1118,899,350,201,170,150,1.23,0.94,-8.91,10.91,-1.49,3.49
09/01/2024 03:00,1122,944,330,330,150,150,1149,963,350,201,170,150,1.38,0.87,-7.73,9.74,-0.81,2.81
09/01/2024 07:00,1167,974,330,330,150,150,978,867,350,266,170,150,0.79,1.28,-9.75,11,-1.84,3.84
09/01/2024 11:00,990,928,330,330,150,150,918,809,349,265,170,150,0.84,1.13,-9.05,11.05,-1.07,3.07
