GMT Time,"Day Ahead Price (N2EX, local) - GB (£/MWh)","Day Ahead Price (EPEX, local) - GB (£/MWh)"
01/01/2024 00:00,46.6,50
01/01/2024 01:00,43.42,47
01/01/2024 02:00,18.03,33
01/01/2024 03:00,0.15,25.8
01/01/2024 04:00,-0.29,20.6
01/01/2024 05:00,-0.2,15.3
01/01/2024 06:00,1.13,25
01/01/2024 07:00,3.76,50
01/01/2024 08:00,9.99,66.8
01/01/2024 09:00,30.42,63
01/01/2024 10:00,71.13,78.2
01/01/2024 11:00,32.01,69
01/01/2024 12:00,53,78.7
01/01/2024 13:00,79.04,82
01/01/2024 14:00,64.84,83.4
01/01/2024 15:00,79.91,80
01/01/2024 16:00,96.28,104.4
01/01/2024 17:00,107.47,113.1
01/01/2024 18:00,84.8,94.3
01/01/2024 19:00,72.11,83.75
01/01/2024 20:00,48.13,75.5
01/01/2024 21:00,45.8,72.9
01/01/2024 22:00,26.48,44.2
01/01/2024 23:00,6,27.2
02/01/2024 00:00,12.92,29.2
02/01/2024 01:00,12.43,30
02/01/2024 02:00,4.32,22
02/01/2024 03:00,3.05,20.1
02/01/2024 04:00,6.51,18
02/01/2024 05:00,26.01,31
02/01/2024 06:00,56.51,64
02/01/2024 07:00,55.09,62.9
02/01/2024 08:00,63.71,73.7
02/01/2024 09:00,74,79.8
02/01/2024 10:00,68,78
02/01/2024 11:00,70.59,81.9
02/01/2024 12:00,86.95,84.4
02/01/2024 13:00,89.71,83.4
02/01/2024 14:00,81.61,77.65
02/01/2024 15:00,72.24,72.5
02/01/2024 16:00,80.52,85
02/01/2024 17:00,84.05,94
02/01/2024 18:00,65.21,85
02/01/2024 19:00,67.98,73.1
02/01/2024 20:00,69.55,65.5
02/01/2024 21:00,59.27,55.5
02/01/2024 22:00,52,41
02/01/2024 23:00,47.46,35.7
03/01/2024 00:00,60.34,39
03/01/2024 01:00,59,37.4
03/01/2024 02:00,50.06,32
03/01/2024 03:00,52.85,31.6
03/01/2024 04:00,41.95,32
03/01/2024 05:00,69.02,42
03/01/2024 06:00,73.91,62
03/01/2024 07:00,72.05,71
03/01/2024 08:00,78.73,72
03/01/2024 09:00,77.31,77.4
03/01/2024 10:00,80.52,76.8
03/01/2024 11:00,75,74.4
03/01/2024 12:00,75.61,76.42
03/01/2024 13:00,83.8,76.8
03/01/2024 14:00,69.62,75.18
03/01/2024 15:00,71.76,73
03/01/2024 16:00,93.47,87.8
03/01/2024 17:00,94.93,96
03/01/2024 18:00,84.95,89
03/01/2024 19:00,82.27,80
03/01/2024 20:00,75.3,75.3
03/01/2024 21:00,72.02,72.6
03/01/2024 22:00,65.04,68
03/01/2024 23:00,69.92,67
04/01/2024 00:00,73.57,67.5
04/01/2024 01:00,67.55,65
04/01/2024 02:00,63.2,62.3
04/01/2024 03:00,58.96,62
04/01/2024 04:00,57.8,62
04/01/2024 05:00,61.61,67.2
04/01/2024 06:00,73.56,75
04/01/2024 07:00,74.37,77
04/01/2024 08:00,79.49,78
04/01/2024 09:00,80.92,80.4
04/01/2024 10:00,77.13,78
04/01/2024 11:00,77.34,79.9
04/01/2024 12:00,78.92,81.7
04/01/2024 13:00,84,85
04/01/2024 14:00,88.59,88.9
04/01/2024 15:00,91.84,92
04/01/2024 16:00,106.76,108.4
04/01/2024 17:00,111.86,113.11
04/01/2024 18:00,106.41,105.5
04/01/2024 19:00,98.47,93.6
04/01/2024 20:00,85.94,85.8
04/01/2024 21:00,81.58,79.05
04/01/2024 22:00,71.66,76.1
04/01/2024 23:00,79.04,76.7
05/01/2024 00:00,79.24,80
05/01/2024 01:00,77.25,77.6
05/01/2024 02:00,70.33,70.7
05/01/2024 03:00,69.74,70
05/01/2024 04:00,69.83,70
05/01/2024 05:00,73.73,73
05/01/2024 06:00,83.61,77.5
