GMT Time,Ancillary Price - DR-L - GB (£/MW/h),Month,Day,EFA Block,Volume Requirements Forecast - DR-L - GB (MW),Ancillary Volume Accepted - DR-L - GB (MW),"Day Ahead Price (EPEX, local) - GB (£/MWh)","Day Ahead Price (N2EX, local) - GB (£/MWh)",National Demand Forecast (NDF) - GB (MW),"Day Ahead Price (EPEX half-hourly, local) - GB (£/MWh)"
2023-01-01 03:00:00,3.0,1,7,1,80,0.0,42.5,13.016666666666666,20552.0,0.0
2023-01-01 07:00:00,4.0,1,7,2,80,0.0,-1.25,0.245,18028.625,0.0
2023-01-01 11:00:00,8.0,1,7,3,80,0.0,44.275,79.4575,21283.0,0.0
2023-01-01 15:00:00,16.1,1,7,4,80,0.0,145.725,153.1025,26818.25,0.0
2023-01-01 19:00:00,7.12,1,7,5,80,0.0,167.7125,168.6775,31643.0,0.0
2023-01-01 23:00:00,6.0,1,7,6,80,0.0,142.225,148.5275,27963.125,0.0
2023-01-02 03:00:00,3.0,1,1,1,80,12.0,144.8,173.1925,22375.875,32.43333333333333
2023-01-02 07:00:00,4.0,1,1,2,80,16.0,135.0,133.51,20267.125,-3.825
2023-01-02 11:00:00,8.0,1,1,3,80,16.0,148.875,146.6825,26135.125,82.44999999999999
2023-01-02 15:00:00,14.0,1,1,4,80,12.0,170.05,163.115,28879.75,155.4325
2023-01-02 19:00:00,6.0,1,1,5,80,15.0,212.625,202.825,34253.625,175.92625
2023-01-02 23:00:00,10.4,1,1,6,80,17.0,161.35,161.3775,30556.125,166.96375
2023-01-03 03:00:00,11.6,1,2,1,80,17.0,158.675,143.33249999999998,22603.0,165.3625
2023-01-03 07:00:00,14.28,1,2,2,80,15.0,121.725,112.9,21149.375,136.4225
2023-01-03 11:00:00,17.4,1,2,3,80,15.0,154.025,157.73000000000002,31688.0,147.8125
2023-01-03 15:00:00,15.0,1,2,4,80,15.0,158.675,155.7125,35914.875,155.2625
2023-01-03 19:00:00,13.0,1,2,5,80,10.0,160.0,155.705,37413.0,185.8875
2023-01-03 23:00:00,11.0,1,2,6,80,22.0,131.0,128.83249999999998,29738.375,144.4875
2023-01-04 03:00:00,4.56,1,3,1,80,22.0,31.65,38.0775,20470.125,127.5375
2023-01-04 07:00:00,13.0,1,3,2,80,22.0,31.25,34.08,19999.625,116.475
2023-01-04 11:00:00,17.0,1,3,3,80,22.0,135.95,137.2475,30956.375,153.75625
2023-01-04 15:00:00,21.0,1,3,4,80,16.0,135.625,139.9825,32094.875,160.0
2023-01-04 19:00:00,14.0,1,3,5,80,20.0,155.5,161.145,35734.75,160.1875
2023-01-04 23:00:00,0.0,1,3,6,80,42.0,128.0,131.8925,30282.125,114.25
2023-01-05 03:00:00,6.4,1,4,1,80,39.0,63.4,76.8225,22586.875,43.3
2023-01-05 07:00:00,13.0,1,4,2,80,41.0,98.425,103.17750000000001,22226.375,32.7
2023-01-05 11:00:00,18.0,1,4,3,80,41.0,162.25,162.9675,32995.0,142.725
2023-01-05 15:00:00,18.0,1,4,4,80,20.0,152.25,143.9675,33512.0,140.475
2023-01-05 19:00:00,10.0,1,4,5,80,35.0,147.325,149.845,35446.75,161.8125
2023-01-05 23:00:00,0.0,1,4,6,80,31.0,123.825,129.5825,29123.25,133.5
2023-01-06 03:00:00,5.0,1,5,1,80,33.0,67.0,68.7925,20631.5,82.775
2023-01-06 07:00:00,11.78,1,5,2,80,32.0,68.325,66.86,20253.5,95.0
2023-01-06 11:00:00,16.0,1,5,3,80,38.0,127.675,122.965,31234.625,144.75
2023-01-06 15:00:00,18.0,1,5,4,80,19.0,125.5,124.84,32654.375,123.6
2023-01-06 19:00:00,10.0,1,5,5,80,35.0,147.875,140.2325,35897.5,135.0
2023-01-06 23:00:00,3.0,1,5,6,80,26.0,123.375,123.62,28814.875,115.0
2023-01-07 03:00:00,4.0,1,6,1,80,27.0,79.475,77.51,20473.75,88.725
2023-01-07 07:00:00,10.0,1,6,2,80,32.0,58.550000000000004,66.4,18190.5,90.0125
2023-01-07 11:00:00,10.0,1,6,3,80,28.0,117.0,132.7525,26390.125,130.3125
2023-01-07 15:00:00,0.0,1,6,4,80,10.0,125.0,144.83,28857.625,125.8625
2023-01-07 19:00:00,6.0,1,6,5,80,26.0,120.625,139.23250000000002,31561.25,136.85625
2023-01-07 23:00:00,6.0,1,6,6,80,30.0,73.25,69.265,26259.875,117.25
2023-01-08 03:00:00,5.0,1,7,1,80,30.0,15.175,15.1425,19999.0,97.1125
2023-01-08 07:00:00,1.36,1,7,2,80,31.0,4.825,5.415,18277.25,77.925
2023-01-08 11:00:00,6.5,1,7,3,80,34.0,54.875,51.2775,24740.125,137.14125
2023-01-08 15:00:00,10.0,1,7,4,80,11.0,127.325,108.315,29798.625,138.075
2023-01-08 19:00:00,6.0,1,7,5,80,26.0,164.825,163.9475,34503.75,144.825
2023-01-08 23:00:00,2.4,1,7,6,80,35.0,127.525,124.5975,29846.25,64.725
2023-01-09 03:00:00,2.5,1,1,1,80,35.0,77.5,63.815,22322.875,-1.5625000000000002
2023-01-09 07:00:00,11.24,1,1,2,80,31.0,84.025,82.2325,22083.25,-4.8875
2023-01-09 11:00:00,10.06,1,1,3,80,32.0,151.95,150.73,32850.5,61.2
2023-01-09 15:00:00,2.5,1,1,4,80,17.0,135.7,138.2525,33721.125,114.5875
2023-01-09 19:00:00,14.94,1,1,5,80,28.0,162.6,162.18,37649.875,170.475
2023-01-09 23:00:00,9.49,1,1,6,80,15.0,138.275,126.4525,32139.125,112.8125
2023-01-10 03:00:00,13.7,1,2,1,80,15.0,86.475,86.175,23616.625,60.3
2023-01-10 07:00:00,18.0,1,2,2,80,23.0,111.025,110.0975,23424.25,75.09375
2023-01-10 11:00:00,18.0,1,2,3,80,33.0,161.60000000000002,155.36249999999998,34574.625,152.5625
